target,scope,month,variant,K,radius,scatter,density_between,S_Dbw,status,zero_density_clusters,zero_over_zero_pairs,positive_over_zero_pairs
temporal_louvain_alpha70,temporal,2023-03-01,printed_outside_indicator,8,0.12127975250474594,0.25031574240137744,1.4405901729137411,1.6909059153151187,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-03-01,round14_strict,6,0.15437290664870792,0.30416902493908804,,,undefined,2,1,0
temporal_leiden_alpha70,temporal,2023-03-01,round14_zero_zero,6,0.15437290664870792,0.30416902493908804,0.18428184281842822,0.4884508677575162,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-03-01,round14_floor_one,6,0.15437290664870792,0.30416902493908804,0.18428184281842822,0.4884508677575162,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-03-01,rms_radius_strict,6,0.37813485139963515,0.30416902493908804,0.3658158740000172,0.6699848989391053,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-03-01,rms_radius_floor_one,6,0.37813485139963515,0.30416902493908804,0.3658158740000172,0.6699848989391053,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-03-01,printed_outside_indicator,6,0.15437290664870792,0.30416902493908804,1.2424451020481728,1.5466141269872609,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-04-01,round14_strict,8,0.11569745321954411,0.22040266968449915,,,undefined,4,5,1
temporal_louvain_alpha70,temporal,2023-04-01,round14_zero_zero,8,0.11569745321954411,0.22040266968449915,,,undefined,4,5,1
temporal_louvain_alpha70,temporal,2023-04-01,round14_floor_one,8,0.11569745321954411,0.22040266968449915,0.3290816326530612,0.5494843023375603,finite,4,5,1
temporal_louvain_alpha70,temporal,2023-04-01,rms_radius_strict,8,0.327241814950212,0.22040266968449915,0.26898086973622765,0.48938353942072677,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-04-01,rms_radius_floor_one,8,0.327241814950212,0.22040266968449915,0.26898086973622765,0.48938353942072677,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-04-01,printed_outside_indicator,8,0.11569745321954411,0.22040266968449915,1.4653838641237322,1.6857865338082314,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-04-01,round14_strict,6,0.148463344365195,0.2721880126720169,,,undefined,2,1,0
temporal_leiden_alpha70,temporal,2023-04-01,round14_zero_zero,6,0.148463344365195,0.2721880126720169,0.08431372549019608,0.356501738162213,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-04-01,round14_floor_one,6,0.148463344365195,0.2721880126720169,0.08431372549019608,0.356501738162213,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-04-01,rms_radius_strict,6,0.3636594392018319,0.2721880126720169,0.3876068993616732,0.6597949120336901,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-04-01,rms_radius_floor_one,6,0.3636594392018319,0.2721880126720169,0.3876068993616732,0.6597949120336901,finite,0,0,0
