target,scope,month,cluster_id,n,variance_norm,radius,center_density,min_center_distance
temporal_leiden_alpha70,temporal,2023-11-01,4,210,0.3323786550968317,0.10027061244150648,0,0.1536678404362521
temporal_leiden_alpha70,temporal,2023-11-01,5,66,0.04955173558860079,0.10027061244150648,8,0.062498269755992646
temporal_leiden_alpha70,temporal,2023-11-01,6,361,0.07984530121230227,0.10027061244150648,0,0.10212863343205911
temporal_leiden_alpha70,temporal,2023-11-01,8,163,0.0209459339172183,0.10027061244150648,28,0.04176429479326091
temporal_leiden_alpha70,temporal,2023-11-01,9,17,0.12420007901461033,0.10027061244150648,0,0.167610728455994
temporal_leiden_alpha70,temporal,2023-11-01,10,1,0.0,0.10027061244150648,1,0.0
temporal_leiden_alpha70,temporal,2023-11-01,11,1,0.0,0.10027061244150648,1,0.0
temporal_louvain_alpha70,temporal,2023-12-01,0,324,0.06894859219825969,0.08778371236802317,0,0.1069700755646133
temporal_louvain_alpha70,temporal,2023-12-01,1,198,0.2917621751025613,0.08778371236802317,0,0.14989105385199333
temporal_louvain_alpha70,temporal,2023-12-01,2,351,0.12349477194457904,0.08778371236802317,0,0.11922399701618862
temporal_louvain_alpha70,temporal,2023-12-01,3,109,0.04424545644485454,0.08778371236802317,8,0.040437454711032335
temporal_louvain_alpha70,temporal,2023-12-01,4,2,0.020782309695775446,0.08778371236802317,0,0.19985109136522555
temporal_louvain_alpha70,temporal,2023-12-01,5,1,0.0,0.08778371236802317,1,0.0
temporal_louvain_alpha70,temporal,2023-12-01,6,451,0.09466273953676219,0.08778371236802317,0,0.11719087250230249
temporal_louvain_alpha70,temporal,2023-12-01,7,40,0.16191200479127155,0.08778371236802317,0,0.3281470478253285
temporal_louvain_alpha70,temporal,2023-12-01,8,174,0.04470708527655355,0.08778371236802317,0,0.09452590722602577
temporal_louvain_alpha70,temporal,2023-12-01,9,172,0.027679327171696484,0.08778371236802317,4,0.0655522699675594
temporal_louvain_alpha70,temporal,2023-12-01,11,82,0.054229136848216834,0.08778371236802317,0,0.10373108056739441
temporal_leiden_alpha70,temporal,2023-12-01,1,873,0.16369948549286645,0.10206181079779018,0,0.10744995916531623
temporal_leiden_alpha70,temporal,2023-12-01,3,204,0.06570421771579993,0.10206181079779018,2,0.0885399907891144
temporal_leiden_alpha70,temporal,2023-12-01,4,205,0.3331258751297774,0.10206181079779018,0,0.12742905196127705
temporal_leiden_alpha70,temporal,2023-12-01,5,99,0.04180970032741187,0.10206181079779018,10,0.04493506451374814
temporal_leiden_alpha70,temporal,2023-12-01,6,374,0.07714038582212855,0.10206181079779018,1,0.09614600617542449
temporal_leiden_alpha70,temporal,2023-12-01,8,129,0.01678519014440066,0.10206181079779018,17,0.03245284235576301
temporal_leiden_alpha70,temporal,2023-12-01,9,18,0.1454808164568528,0.10206181079779018,0,0.25118792177214094
temporal_leiden_alpha70,temporal,2023-12-01,10,1,0.0,0.10206181079779018,1,0.0
temporal_leiden_alpha70,temporal,2023-12-01,11,1,0.0,0.10206181079779018,1,0.0
temporal_louvain_alpha70,temporal,2024-01-01,0,285,0.06753249838504859,0.08335262973341678,0,0.08707808461400565
temporal_louvain_alpha70,temporal,2024-01-01,1,201,0.27397026909181854,0.08335262973341678,0,0.16772191278224532
temporal_louvain_alpha70,temporal,2024-01-01,2,227,0.12484098884764014,0.08335262973341678,0,0.09734821522792755
temporal_louvain_alpha70,temporal,2024-01-01,3,104,0.03446175112063538,0.08335262973341678,7,0.0339732155574492
temporal_louvain_alpha70,temporal,2024-01-01,4,2,0.02365385935866089,0.08335262973341678,0,0.1914475597419528
temporal_louvain_alpha70,temporal,2024-01-01,5,1,0.0,0.08335262973341678,1,0.0
temporal_louvain_alpha70,temporal,2024-01-01,6,437,0.09187819792011981,0.08335262973341678,0,0.11820470132446782
temporal_louvain_alpha70,temporal,2024-01-01,7,42,0.1558013043677602,0.08335262973341678,0,0.37406207137788655
temporal_louvain_alpha70,temporal,2024-01-01,8,189,0.04619246966971516,0.08335262973341678,0,0.0936939505491471
temporal_louvain_alpha70,temporal,2024-01-01,9,177,0.02816734762026491,0.08335262973341678,8,0.05722516501486292
temporal_louvain_alpha70,temporal,2024-01-01,10,2,0.06146908229843347,0.08335262973341678,0,0.3374694809745575
temporal_louvain_alpha70,temporal,2024-01-01,11,237,0.09249539854045807,0.08335262973341678,0,0.10982485911731481
temporal_leiden_alpha70,temporal,2024-01-01,1,881,0.15915321624351966,0.10114756875907735,1,0.08832757099728217
temporal_leiden_alpha70,temporal,2024-01-01,3,200,0.054408439515168355,0.10114756875907735,1,0.10089532036509609
temporal_leiden_alpha70,temporal,2024-01-01,4,185,0.34475456323811543,0.10114756875907735,0,0.19777184458100483
temporal_leiden_alpha70,temporal,2024-01-01,5,177,0.053128808384026664,0.10114756875907735,22,0.029963822898893943
temporal_leiden_alpha70,temporal,2024-01-01,6,391,0.08256461840832448,0.10114756875907735,1,0.07415600715791015
temporal_leiden_alpha70,temporal,2024-01-01,8,50,0.006509492322778956,0.10114756875907735,27,0.05025886362297433
temporal_leiden_alpha70,temporal,2024-01-01,9,18,0.1281781458237213,0.10114756875907735,0,0.25224802357929516
temporal_leiden_alpha70,temporal,2024-01-01,10,1,0.0,0.10114756875907735,1,0.0
temporal_leiden_alpha70,temporal,2024-01-01,11,1,0.0,0.10114756875907735,1,0.0
temporal_louvain_alpha70,temporal,2024-02-01,0,215,0.062126794775176956,0.0861490858797267,0,0.09315114214123646
temporal_louvain_alpha70,temporal,2024-02-01,1,206,0.28422976995805244,0.0861490858797267,0,0.16724664088275173
temporal_louvain_alpha70,temporal,2024-02-01,2,93,0.10623914411668342,0.0861490858797267,0,0.15227624915790006
temporal_louvain_alpha70,temporal,2024-02-01,3,104,0.039359900533857566,0.0861490858797267,9,0.03577091615869241
