panel_index,municipality,reference_profile,full_consensus_class,without_perturbation_class_matches_full,without_perturbation_DG_side_matches_full,without_alpha_class_matches_full,without_alpha_DG_side_matches_full,without_gamma_class_matches_full,without_gamma_DG_side_matches_full,without_algorithm_class_matches_full,without_algorithm_DG_side_matches_full,lofo_class_match_count,lofo_all_class_match,lofo_DG_side_match_count,lofo_all_DG_side_match,lofo_entropy_range,lofo_min_margin
429,Константиновский муниципальный район,F,G,True,True,True,True,True,True,True,True,4,True,4,True,0.0994213921814916,0.00513003360644948
430,Кораблинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
431,Коркинский муниципальный округ,F,F,False,True,False,True,False,True,True,True,1,False,4,True,0.08051905924938463,0.014663352897094584
432,Кормиловский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08112135226283124,0.38123781467072804
433,Корткеросский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
434,Косихинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08276285488706847,0.3749774809977796
435,Костромской муниципальный район,F,D,True,True,True,True,True,True,True,True,4,True,4,True,0.19262873431411115,0.008886337093359453
436,Котельниковский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
437,Котельничский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
438,Котласский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08268259208397688,0.3745918195054224
439,Котовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08198267238094747,0.32250982062005595
440,Коченевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08848189148480601,0.30059477599850676
441,Кочковский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
442,Кочубеевский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08604204917991454,0.3085765217788225
443,Кош-Агачский муниципальный район,A,C,False,True,False,True,True,True,True,True,2,False,4,True,0.14162389034175116,0.009187025509107383
444,Кошехабльский муниципальный район,F,G,True,True,True,True,True,True,False,True,3,False,4,True,0.07099567677307184,0.03200843279540383
445,Кошкинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08172930747103813,0.38085391065998475
446,Крапивинский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
447,Краснобаковский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
448,Красноборский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08172930747103813,0.38085391065998475
449,Красногвардейский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
450,Красногорский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
451,Краснозерский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
452,Краснозоренский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
453,Краснокамский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
454,Краснокутский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08478467338411488,0.37180255850576904
455,Краснооктябрьский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
