panel_index,municipality,reference_profile,consensus_class,second_class,affinity_share_B,affinity_share_E,B_E_balance,B_E_transition_direction,family_votes_B_over_E,family_votes_E_over_B,lofo_class_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
1152,внутригородская территория города федерального значения муниципальный округ Звездное,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1153,внутригородская территория города федерального значения муниципальный округ Зюзино,B,B,E,0.6347448681815191,0.3303187163422668,0.31544672985404637,B-leaning,4,0,4,B,0.42501405994020536,0.3044261518392523
1154,внутригородская территория города федерального значения муниципальный округ Зябликово,E,E,B,0.3287705040735227,0.6180097761533447,-0.305497778228455,E-leaning,1,3,4,E,0.46126953232828694,0.28923927207982203
1155,внутригородская территория города федерального значения муниципальный округ Ивановский,E,E,B,0.4434649829516675,0.5129561953821192,-0.072657542518574,B-leaning,3,1,3,E,0.46606853796898656,0.06949121243045175
1156,внутригородская территория города федерального значения муниципальный округ Ивановское,E,E,B,0.3287705980129189,0.6172661273032193,-0.30495172287724187,E-leaning,1,3,4,E,0.46275574711842815,0.28849552929030037
1157,внутригородская территория города федерального значения муниципальный округ Измайлово,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1158,внутригородская территория города федерального значения муниципальный округ Измайловское,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1159,внутригородская территория города федерального значения муниципальный округ Капотня,E,E,B,0.28412528670049675,0.5759815571431174,-0.3393255995248032,E-leaning,1,3,4,E,0.5813095208538094,0.29185627044262064
1160,внутригородская территория города федерального значения муниципальный округ Княжево,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1161,внутригородская территория города федерального значения муниципальный округ Коломна,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1162,внутригородская территория города федерального значения муниципальный округ Коломяги,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1163,внутригородская территория города федерального значения муниципальный округ Комендантский аэродром,E,B,E,0.5820056460762215,0.3816918210199935,0.20785965709737492,B-leaning,4,0,4,B,0.44223424978712617,0.20031382505622802
1164,внутригородская территория города федерального значения муниципальный округ Константиновское,E,E,B,0.3270426837512482,0.6229154649540969,-0.31145875384729355,E-leaning,1,3,4,E,0.4551872276570794,0.2958727812028487
1165,внутригородская территория города федерального значения муниципальный округ Коньково,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1166,внутригородская территория города федерального значения муниципальный округ Коптево,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1167,внутригородская территория города федерального значения муниципальный округ Косино-Ухтомский,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1168,внутригородская территория города федерального значения муниципальный округ Котловка,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1169,внутригородская территория города федерального значения муниципальный округ Красненькая речка,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1170,внутригородская территория города федерального значения муниципальный округ Красносельский,B,B,E,0.6452180586783532,0.3200649421501972,0.33684744914088505,B-leaning,4,0,4,B,0.4209705747608935,0.32515311652815604
1171,внутригородская территория города федерального значения муниципальный округ Кронверкское,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1172,внутригородская территория города федерального значения муниципальный округ Крылатское,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1173,внутригородская территория города федерального значения муниципальный округ Крюково,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1174,внутригородская территория города федерального значения муниципальный округ Кузьминки,E,E,B,0.32578758640834343,0.6207387601682595,-0.3116143304691894,E-leaning,1,3,4,E,0.4607934781791344,0.29495117375991603
1175,внутригородская территория города федерального значения муниципальный округ Кунцево,B,B,E,0.6407722204093538,0.3245022470382859,0.32764771475551707,B-leaning,4,0,4,B,0.42255368812116484,0.3162699733710679
1176,внутригородская территория города федерального значения муниципальный округ Купчино,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1177,внутригородская территория города федерального значения муниципальный округ Куркино,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1178,внутригородская территория города федерального значения муниципальный округ Ланское,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1179,внутригородская территория города федерального значения муниципальный округ Лахта-Ольгино,E,E,B,0.33208148552172273,0.6185570707106527,-0.3013506903447155,E-leaning,1,3,4,E,0.4554426901751564,0.28647558518892996
1180,внутригородская территория города федерального значения муниципальный округ Левобережный,B,B,E,0.6432039032024529,0.3220551987135509,0.3327072532664376,B-leaning,4,0,4,B,0.42172652248855963,0.321148704488902
1181,внутригородская территория города федерального значения муниципальный округ Лефортово,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1182,внутригородская территория города федерального значения муниципальный округ Лианозово,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1183,внутригородская территория города федерального значения муниципальный округ Лиговка-Ямская,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1184,внутригородская территория города федерального значения муниципальный округ Литейный округ,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1185,внутригородская территория города федерального значения муниципальный округ Ломоносовский,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
