panel_index,municipality,reference_profile,perturbation_affinity_share_A,perturbation_affinity_share_B,perturbation_affinity_share_C,perturbation_affinity_share_D,perturbation_affinity_share_E,perturbation_affinity_share_F,perturbation_affinity_share_G,alpha_affinity_share_A,alpha_affinity_share_B,alpha_affinity_share_C,alpha_affinity_share_D,alpha_affinity_share_E,alpha_affinity_share_F,alpha_affinity_share_G,gamma_affinity_share_A,gamma_affinity_share_B,gamma_affinity_share_C,gamma_affinity_share_D,gamma_affinity_share_E,gamma_affinity_share_F,gamma_affinity_share_G,algorithm_affinity_share_A,algorithm_affinity_share_B,algorithm_affinity_share_C,algorithm_affinity_share_D,algorithm_affinity_share_E,algorithm_affinity_share_F,algorithm_affinity_share_G
760,Ряжский муниципальный округ,G,0.02572993774994038,0.025246585207533374,0.09283093404633957,0.02790128558784562,0.025707941269044934,0.2363572635787924,0.5662260525605038,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008206485341960482,0.0,0.11970149309135464,0.0,0.0,0.2521235576171467,0.6199684639495382,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
761,Рязанский муниципальный район,F,0.14697579731312138,0.020961879400033943,0.03817106950027792,0.3640477074126682,0.041831498535950425,0.3494515084607303,0.038560539377217935,0.014490286515658892,0.0,0.0,0.5665823794736203,0.03609216526135314,0.3652923762808172,0.01754279246855047,0.028706177311038417,0.0,0.0,0.34170670214201776,0.0,0.616654467089976,0.012932653456967824,0.009420277928411418,0.0,0.0,0.6554481613523121,0.007141178429602204,0.3279903822896742,0.0
762,Сабинский муниципальный район,G,0.03019240757041351,0.027398492237333035,0.12952726927021985,0.027642516872722605,0.027824375536358935,0.2040879687340788,0.5533269697788733,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.010624575033411993,0.0,0.1678866037607257,0.0,0.0,0.1431637117460905,0.6783251094597718,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
763,Савинский муниципальный район,G,0.026758137303088115,0.026631891905653973,0.0923289682684786,0.02686908881618894,0.027045859137348076,0.18919695549442186,0.6111690990748204,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
764,Сакмарский муниципальный район,G,0.02839951315789823,0.026914952673768235,0.1182873005359583,0.027154670664665356,0.027333319813774994,0.20102946613908682,0.570880777014848,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
765,Салаватский муниципальный район,G,0.03019240757041351,0.027398492237333035,0.12952726927021985,0.027642516872722605,0.027824375536358935,0.2040879687340788,0.5533269697788733,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.010624575033411993,0.0,0.1678866037607257,0.0,0.0,0.1431637117460905,0.6783251094597718,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
766,Самойловский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
767,Сампурский муниципальный округ,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
768,Сапожковский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
769,Сараевский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
