panel_index,municipality,consensus_class,second_class,affinity_share_D,affinity_share_F,affinity_share_G,D_G_balance,D_G_transition_direction,family_votes_D_over_G,family_votes_G_over_D,lofo_class_match_count,lofo_DG_side_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
698,Пий-Хемский муниципальный район,G,F,0.029707431531614866,0.31763698478067265,0.4889712191085208,-0.8854495688420916,G-leaning,0,4,4,4,G,0.6303404946903333,0.17133423432784817
709,Пограничный муниципальный округ,G,F,0.03698347228531744,0.3346478174308388,0.34450223951059966,-0.8061082177300394,G-leaning,0,4,2,4,G,0.745606310203784,0.009854422079760838
712,Подпорожский муниципальный район,D,F,0.481234112158944,0.3919904043544984,0.03131996954052322,0.8777886250103555,D-leaning,4,0,4,4,F,0.5960652957254265,0.08924370780444563
713,Пожарский муниципальный округ,A,F,0.0313875582302883,0.2684060211703192,0.24826732722806946,-0.7755264802269146,G-leaning,1,3,3,4,A,0.7502686615916754,0.08261600708170186
727,Предгорный муниципальный округ,D,F,0.44852365307887626,0.35730381692527863,0.10588391182083388,0.6180286182062187,D-leaning,3,1,4,4,D,0.6611554728404362,0.09121983615359763
728,Приаргунский муниципальный округ,G,F,0.03002760162108884,0.3300616244971513,0.35180593491200896,-0.8427188879545365,G-leaning,0,4,2,4,G,0.7388009288851021,0.021744310414857637
731,Приозерский муниципальный район,D,F,0.48998579623320077,0.38811896395211076,0.017976684964247047,0.9292204222568974,D-leaning,4,0,4,4,F,0.5856114253412585,0.10186683228109
732,Прионежский муниципальный район,D,F,0.4918574295068144,0.3906866276271302,0.018909788315300047,0.9259553563522325,D-leaning,4,0,4,4,F,0.5798543299640817,0.10117080187968419
734,Прокопьевский муниципальный округ,D,F,0.46569356293300207,0.39506923637216046,0.0443986617061342,0.825919080662153,D-leaning,4,0,3,4,F,0.6147215153867505,0.07062432656084161
735,Промышленновский муниципальный округ,G,F,0.02999579605978005,0.3221951984837654,0.48412348796091353,-0.8833119200462719,G-leaning,0,4,4,4,G,0.6318071561392127,0.16192828947714816
754,Рославльский муниципальный район,G,F,0.10562205452848979,0.3621508581266397,0.38831998959634734,-0.5723301719916143,G-leaning,0,4,3,4,G,0.7103114450329524,0.02616913146970762
755,Ростовский муниципальный район,G,F,0.10284047192714275,0.36064935170486745,0.39232188999044576,-0.5846191882239272,G-leaning,0,4,3,4,G,0.7084105354747742,0.03167253828557831
757,Рузаевский муниципальный район,G,F,0.10568493748758519,0.35917989728714844,0.39140071125058257,-0.5747817795349264,G-leaning,0,4,3,4,G,0.7096340410063907,0.032220813963434125
759,Рыбновский муниципальный район,F,D,0.36094571510248397,0.3976325628160015,0.16021354493863255,0.3851647386021977,D-leaning,3,1,2,4,F,0.6865134648139062,0.036686847713517545
761,Рязанский муниципальный район,D,F,0.48952238725621994,0.39198879987495894,0.018943053162120412,0.9254893188157096,D-leaning,4,0,4,4,F,0.5811802189512819,0.097533587381261
774,Саткинский муниципальный район,D,F,0.48672073433811197,0.39198041178599236,0.022091874265366386,0.9131630235107528,D-leaning,4,0,4,4,F,0.5859509750355416,0.09474032255211962
776,Сафоновский муниципальный район,G,F,0.11128053115732328,0.36406504158372494,0.3812893006491385,-0.5481634319779166,G-leaning,0,4,3,4,G,0.7136497175955173,0.017224259065413583
780,Светлоярский муниципальный район,G,F,0.11117941561065671,0.35149425563975095,0.3899934007305987,-0.5563230407335057,G-leaning,0,4,3,4,G,0.7172930760204513,0.03849914509084773
781,Свободненский муниципальный район,D,F,0.4479801646868213,0.3685873037342182,0.011545546880599927,0.9497501593927417,D-leaning,4,0,3,4,F,0.5928210095527834,0.07939286095260306
794,Серышевский муниципальный округ,G,F,0.02837500502180888,0.3260949309519948,0.4136564230150726,-0.871615440794217,G-leaning,0,4,4,4,G,0.7109259699742274,0.08756149206307778
796,Сковородинский муниципальный округ,G,F,0.02651042023561205,0.31507883798117314,0.4942977668306241,-0.898195071068495,G-leaning,0,4,4,4,G,0.6256535791231067,0.17921892884945095
798,Сланцевский муниципальный район,D,F,0.47366382539102997,0.3797916090680383,0.018461949346065168,0.9249706059150105,D-leaning,4,0,4,4,F,0.6068436556731707,0.09387221632299164
801,Слюдянский муниципальный район,G,F,0.10846175193009963,0.36304899755980724,0.38475012478991455,-0.5601819134956838,G-leaning,0,4,3,4,G,0.7120950913038101,0.02170112723010731
802,Смидовичский муниципальный район,D,F,0.4784364212338946,0.3921923250045588,0.028673614861358603,0.886913636802989,D-leaning,4,0,4,4,F,0.599177437612709,0.08624409622933582
807,Сокольский муниципальный округ,G,F,0.11998473544632501,0.36576894077453476,0.3680553002045583,-0.5082996201887199,G-leaning,0,4,3,4,G,0.7233864613754521,0.0022863594300235324
813,Сортавальский муниципальный район,D,F,0.46792699215762984,0.366793074820458,0.016554376555327363,0.9316614523307483,D-leaning,4,0,4,4,F,0.6231088381720271,0.10113391733717186
818,Среднеахтубинский муниципальный район,D,F,0.46981208511164446,0.39553380163601976,0.04313034801324863,0.8318316238705599,D-leaning,4,0,3,4,F,0.6090676799906553,0.0742782834756247
820,Сретенский муниципальный район,G,F,0.03037161533584305,0.33042194227809374,0.3469135123681464,-0.8389991382874121,G-leaning,0,4,2,4,G,0.741793384172638,0.016491570090052643
827,Старорусский муниципальный район,G,F,0.11128053115732328,0.36406504158372494,0.3812893006491385,-0.5481634319779166,G-leaning,0,4,3,4,G,0.7136497175955173,0.017224259065413583
836,Суздальский муниципальный район,D,F,0.48672073433811197,0.39198041178599236,0.022091874265366386,0.9131630235107528,D-leaning,4,0,4,4,F,0.5859509750355416,0.09474032255211962
837,Сузунский муниципальный район,F,G,0.19916640152616516,0.33438265791685906,0.3146261852229426,-0.22472061036793065,G-leaning,1,3,2,3,F,0.7663541932371972,0.01975647269391645
839,Сунтарский муниципальный район,A,F,0.04601286806583927,0.17956640472319862,0.0405198309228283,0.0634793229289005,mixed,2,1,4,3,A,0.5358475491141204,0.5033153898183707
847,Сызранский муниципальный район,F,D,0.3825153641059991,0.3932579080633224,0.13208113254947673,0.4866613612493926,D-leaning,3,1,1,4,F,0.6862528602831769,0.01074254395732327
848,Сыктывдинский муниципальный район,D,F,0.4163042130285208,0.38591040693871936,0.04969873309039831,0.7867020648503982,D-leaning,3,1,2,4,F,0.6690241075781542,0.030393806089801412
856,Тайшетский муниципальный район,G,F,0.11998473544632501,0.36576894077453476,0.3680553002045583,-0.5082996201887199,G-leaning,0,4,3,4,G,0.7233864613754521,0.0022863594300235324
861,Тарский муниципальный район,G,F,0.10264704135119411,0.3523746742613665,0.4030877514768419,-0.594067709768598,G-leaning,0,4,3,4,G,0.7034492235047731,0.05071307721547541
870,Таштагольский муниципальный район,D,F,0.4902792956330592,0.3941330879683311,0.019103156603950924,0.9249948382789502,D-leaning,4,0,4,4,F,0.5781629377049623,0.09614620766472814
871,Таштыпский муниципальный район,G,F,0.05872686954979585,0.30686886988552187,0.4315345367157328,-0.7604262999319632,G-leaning,1,3,4,4,G,0.7068917278905158,0.12466566683021091
881,Тернейский муниципальный округ,G,F,0.02800686005589897,0.32561875545864827,0.34005578049846424,-0.8478147088565359,G-leaning,0,4,2,4,G,0.7329823306799619,0.014437025039815976
883,Теучежский муниципальный район,D,F,0.5450057698266629,0.3578193546118942,0.018324339564825005,0.9349428008219938,D-leaning,4,0,4,4,D,0.542652342301815,0.18718641521476875
886,Тихвинский муниципальный район,D,F,0.48753485133380925,0.3905207751034885,0.01890835854910641,0.9253288101010266,D-leaning,4,0,4,4,F,0.5848501292895198,0.09701407623032077
889,Тоджинский муниципальный район,G,C,0.025344300348570183,0.21653951120709614,0.3504755961886327,-0.8651252869680821,G-leaning,0,4,3,4,G,0.7250125181109663,0.03530956802765228
895,Топкинский муниципальный округ,D,F,0.4877872175888835,0.38919405094612813,0.02527918844139954,0.901458414956494,D-leaning,4,0,4,4,F,0.5905431158384082,0.09859316664275536
900,Тоцкий муниципальный район,D,F,0.485710771907447,0.38921881897194055,0.021619248000663963,0.9147724473131722,D-leaning,4,0,4,4,F,0.5901251290208929,0.09649195293550644
907,Туймазинский муниципальный район,D,F,0.5231638563255819,0.35969427627739287,0.028696384342369263,0.8960012618135483,D-leaning,4,0,4,4,D,0.5782393422525687,0.16346958004818907
912,Тутаевский муниципальный район,D,F,0.485710771907447,0.38921881897194055,0.021619248000663963,0.9147724473131722,D-leaning,4,0,4,4,F,0.5901251290208929,0.09649195293550644
924,Угличский муниципальный район,D,F,0.48672073433811197,0.39198041178599236,0.022091874265366386,0.9131630235107528,D-leaning,4,0,4,4,F,0.5859509750355416,0.09474032255211962
929,Узловский муниципальный район,D,F,0.48672073433811197,0.39198041178599236,0.022091874265366386,0.9131630235107528,D-leaning,4,0,4,4,F,0.5859509750355416,0.09474032255211962
937,Уренский муниципальный округ,G,F,0.01702139917255643,0.3051447846872978,0.5133583304485904,-0.9358142922063976,G-leaning,0,4,4,4,G,0.6046402950739277,0.20821354576129258
