ARI_all_supra,NMI_all_supra,ARI_Dec2024,NMI_Dec2024,K_supra,K_Dec2024,mean_switches,median_switches,share_zero_switches,share_le2_switches,mean_adjacent_ARI,mean_adjacent_NMI,largest_community_n_Dec,largest_community_share_Dec,mode,seed,louvain_seed,gamma,K,MQ,Q_resolution_0_5,AVI,AVU,Dec_K,Dec_MQ,Dec_Q_resolution_0_5,Dec_AVI,Dec_AVU
0.4816433765483377,0.6443950851929054,0.7208618090934403,0.7558295584778456,12,10,1.6381302521008403,2.0,0.19642857142857142,0.8581932773109243,0.851758764149712,0.8735451675712497,1137,0.5971638655462185,graph_only,8,0,0.5,,,,,,,,,,
0.5425370851854865,0.6618645383128786,0.846664803993836,0.850795657299279,13,10,1.7100840336134453,2.0,0.14128151260504201,0.8755252100840336,0.850181356058785,0.8738789403898634,920,0.4831932773109244,graph_only,9,0,0.5,,,,,,,,,,
0.36479393965017143,0.5550493146474088,0.7273342830613637,0.7972030533353068,13,9,2.3403361344537816,2.0,0.0015756302521008404,0.523109243697479,0.8098443741033856,0.8363156921954156,805,0.4227941176470588,graph_only,10,0,0.5,,,,,,,,,,
0.4648937382479908,0.5645514120238297,0.7094862921840175,0.6628314732499837,14,10,2.4611344537815127,2.0,0.0010504201680672268,0.645483193277311,0.8522207337551018,0.846063674674469,1066,0.5598739495798319,graph_only,11,0,0.5,,,,,,,,,,
0.4146813943435026,0.5300595449010681,0.6708052716307985,0.6370346947290972,17,11,4.053571428571429,4.0,0.0005252100840336134,0.037289915966386554,0.7709632476157978,0.7860808923793681,1128,0.592436974789916,graph_only,12,0,0.5,,,,,,,,,,
0.6107568616465989,0.6790992592747453,0.756346090814779,0.7524303297649512,12,9,1.4522058823529411,1.0,0.20850840336134455,0.8135504201680672,0.8692525721871863,0.8814012121748095,1095,0.5751050420168067,graph_only,13,0,0.5,,,,,,,,,,
0.49206349581427244,0.6167289132505819,0.8071209568490678,0.7428167998472424,10,8,1.7862394957983194,2.0,0.06932773109243698,0.8461134453781513,0.8518843332909659,0.8702976324877005,984,0.5168067226890757,graph_only,14,0,0.5,,,,,,,,,,
0.42687674235247647,0.6034657830245587,0.7737488155645098,0.7687888024254595,13,10,1.634453781512605,2.0,0.11029411764705882,0.8550420168067226,0.8589548807228493,0.8762305238222554,872,0.4579831932773109,graph_only,15,0,0.5,,,,,,,,,,
0.5310523372613866,0.673267642345066,0.7535770640007554,0.7724879675199678,10,8,1.612920168067227,2.0,0.19852941176470587,0.8839285714285714,0.8393426181200059,0.8716522299086383,875,0.45955882352941174,graph_only,16,0,0.5,,,,,,,,,,
0.45038224667738114,0.6192059917449331,0.7118640277017606,0.6791298599827642,13,9,1.6896008403361344,2.0,0.19170168067226892,0.803046218487395,0.8467388400962617,0.8725491741085705,1106,0.5808823529411765,graph_only,17,0,0.5,,,,,,,,,,
