month,ARI,NMI,K,mode,seed,louvain_seed,gamma,adjacent_ARI,adjacent_NMI,same_label_share
2024-04-01,0.38334569355857395,0.5960479918522816,11,combined,4,4,0.5,0.7113492712145507,0.8097351343299514,0.8776260504201681
2024-05-01,0.3998599052935675,0.5849489110481216,11,combined,4,4,0.5,0.5941986282504049,0.7588405936005265,0.8350840336134454
2024-06-01,0.5858699530741985,0.6330670947277816,11,combined,4,4,0.5,0.6242781458712083,0.7521225084778949,0.8245798319327731
2024-07-01,0.5947272765071153,0.6468750819481758,11,combined,4,4,0.5,0.9773278138534398,0.9512222292591974,0.9847689075630253
2024-08-01,0.039502895529859326,0.14041174938224069,11,combined,4,4,0.5,0.13358345320851947,0.27608528600434695,0.6906512605042017
2024-09-01,0.6889914091415009,0.6781901627982935,10,combined,4,4,0.5,0.06318048150930325,0.21057650056380622,0.06039915966386555
2024-10-01,0.6815148413921402,0.6796618033186053,10,combined,4,4,0.5,0.9772566490696298,0.9644372065945394,0.9889705882352942
2024-11-01,0.67786827634039,0.6758142913608383,9,combined,4,4,0.5,0.9722021662504087,0.9508755034724656,0.9900210084033614
2024-12-01,0.67786827634039,0.6758142913608383,9,combined,4,4,0.5,1.0,1.0,1.0
2023-01-01,0.5764495168372435,0.6514898553784515,6,combined,5,5,0.5,,,
2023-02-01,0.5764495168372435,0.6514898553784515,6,combined,5,5,0.5,1.0,1.0,1.0
2023-03-01,0.5482752150876363,0.630425844756816,6,combined,5,5,0.5,0.8906231932353331,0.8773180533845768,0.9590336134453782
2023-04-01,0.5175630233586818,0.6195624044439564,7,combined,5,5,0.5,0.9207127438824337,0.9037275679751681,0.970063025210084
2023-05-01,0.5076388710716438,0.6055224820112938,7,combined,5,5,0.5,0.8904466401499685,0.8835282296672183,0.9590336134453782
2023-06-01,0.5060493584780468,0.6226568785518504,9,combined,5,5,0.5,0.931434380223562,0.9098810841858928,0.9711134453781513
2023-07-01,0.4773288269143201,0.6314117136304994,9,combined,5,5,0.5,0.9065633042520171,0.8971564286490012,0.960609243697479
2023-08-01,0.43296393661989596,0.6284567428287297,10,combined,5,5,0.5,0.8396510949802745,0.8701423328883128,0.9311974789915967
2023-09-01,0.4606147348951808,0.6363868846589618,10,combined,5,5,0.5,0.7706626428202978,0.8509537559885871,0.8965336134453782
2023-10-01,0.5527523645636856,0.6603196274250561,11,combined,5,5,0.5,0.7652179089682912,0.8476084149084773,0.8986344537815126
2023-11-01,0.5600789682732695,0.6654805503822993,11,combined,5,5,0.5,0.8101686706611195,0.8545621134786208,0.9217436974789915
2023-12-01,0.49110939096182504,0.6375181601556624,14,combined,5,5,0.5,0.9861891014211317,0.97807137162493,0.990546218487395
2024-01-01,0.0037959352270145763,0.0766061012115268,13,combined,5,5,0.5,0.019733822276741655,0.13220600517247244,0.28991596638655465
2024-02-01,0.4233796441829964,0.6004417992754026,13,combined,5,5,0.5,0.040617602280835975,0.15172967937873116,0.06460084033613446
2024-03-01,0.5143492120494555,0.6268963743779392,12,combined,5,5,0.5,0.968400407042197,0.9591063979261788,0.9821428571428571
2024-04-01,0.7067062534394071,0.6915934185498038,11,combined,5,5,0.5,0.9039829459258953,0.8570773567230184,0.9448529411764706
2024-05-01,0.8357459080715002,0.7279318703929569,9,combined,5,5,0.5,0.9447549929256998,0.8965542509845641,0.967436974789916
2024-06-01,0.8386790436535834,0.7348981858622722,9,combined,5,5,0.5,0.9549006543422291,0.9294966014094832,0.9805672268907563
