mode,scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95
graph_only,run,all,median_switches,20,2.1,2.0,0.7181848464596079,1.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0500000000000007
graph_only,run,all,share_le2_switches,20,0.6727941176470589,0.79359243697479,0.2561511215310427,0.037289915966386554,0.8839285714285714,0.08419117647058824,0.3589285714285715,0.614889705882353,0.8466386554621849,0.8599264705882352,0.8759453781512605
optimizer_only,run,all,ARI_all_supra,20,0.5469832950209063,0.5239792753585866,0.12112737898445987,0.4114598800190458,1.0,0.44130786543715145,0.4455819956138412,0.4971251310975212,0.5555564508605141,0.6069595084160018,0.677337011127334
optimizer_only,run,all,NMI_all_supra,20,0.6639472879196959,0.6491086138602282,0.08464753350985256,0.5821865580793821,1.0,0.5877404561742305,0.6121839047228985,0.6300170466508745,0.6767254200883972,0.685397864532944,0.7118228165493554
optimizer_only,run,all,ARI_Dec2024,20,0.756266754211836,0.7477864973090084,0.13111237066704828,0.43492366938428334,1.0,0.4696669175230818,0.6662471819045629,0.7109693508906044,0.838850326544782,0.8781932365388287,0.8847544137693494
optimizer_only,run,all,NMI_Dec2024,20,0.7703278245759104,0.7596923232583674,0.07576922761560677,0.649196937904868,1.0,0.6924876180402598,0.7002301719219518,0.7232820525327819,0.8005843028426384,0.8446356935151516,0.858882308720158
optimizer_only,run,all,K_supra,20,11.4,11.5,0.6805570473787206,10.0,12.0,10.0,10.9,11.0,12.0,12.0,12.0
optimizer_only,run,all,K_Dec2024,20,9.1,9.0,1.0711528467275955,7.0,11.0,7.0,7.9,8.75,10.0,10.0,10.05
optimizer_only,run,all,largest_community_n_Dec,20,939.3,956.0,134.9433019339682,636.0,1147.0,715.8,769.5,859.5,1025.5,1103.6,1119.45
optimizer_only,run,all,largest_community_share_Dec,20,0.49332983193277313,0.5021008403361344,0.07087358294851272,0.33403361344537813,0.6024159663865546,0.3759453781512605,0.40414915966386555,0.45141806722689076,0.5386029411764706,0.5796218487394958,0.5879464285714286
optimizer_only,run,all,mean_switches,20,1.5796481092436974,1.6192226890756303,0.15982947861648214,1.2584033613445378,1.8146008403361344,1.3347426470588235,1.3515231092436975,1.5043329831932772,1.7081144957983192,1.7165441176470588,1.7317752100840338
optimizer_only,run,all,median_switches,20,1.75,2.0,0.4442616583193193,1.0,2.0,1.0,1.0,1.75,2.0,2.0,2.0
optimizer_only,run,all,share_le2_switches,20,0.8426207983193278,0.8513655462184874,0.03951835995554071,0.7678571428571429,0.9012605042016807,0.7808298319327731,0.7881302521008403,0.8064600840336135,0.8698792016806722,0.8898109243697478,0.8912815126050421
combined,profiles,A,retention,50,0.9412765957446808,0.9574468085106383,0.05679256274347312,0.6524822695035462,0.9929078014184397,0.8723404255319149,0.8794326241134752,0.9219858156028369,0.9787234042553191,0.9929078014184397,0.9929078014184397
combined,profiles,A,precision,50,0.7268135437384217,0.8852853243208112,0.29621548169150463,0.07032498668087374,0.9858156028368794,0.2262966049838584,0.27430351710519296,0.48998352515845595,0.9593125734430081,0.97730625,0.9852450980392157
combined,profiles,A,Jaccard,50,0.6882053842730724,0.8347820813455162,0.27701203674251346,0.06998939554612937,0.972027972027972,0.22592933382407068,0.2704029649252401,0.44176736908685377,0.8867167600611309,0.9320624580898553,0.9462670678083777
combined,profiles,A,within_pair_coassignment,50,0.8926849037487335,0.917274569402229,0.08837055671045842,0.5124620060790274,0.9858156028368794,0.7682826747720365,0.7810131712259372,0.8523302938196555,0.9578520770010132,0.9858156028368794,0.9858156028368794
combined,profiles,B,retention,50,0.9720408163265306,1.0,0.09710708989829739,0.5510204081632653,1.0,0.7535714285714286,0.9887755102040816,1.0,1.0,1.0,1.0
combined,profiles,B,precision,50,0.6145776954211677,0.6227305737109659,0.2824970152009738,0.05114544485881726,1.0,0.24680476190476192,0.33691385076692426,0.34446717500464946,0.8596491228070176,1.0,1.0
combined,profiles,B,Jaccard,50,0.601487178885548,0.5779793398841018,0.2766563182979579,0.05109100585417775,1.0,0.21628230131643103,0.33691385076692426,0.34446717500464946,0.8596491228070176,0.9898062255205112,1.0
combined,profiles,B,within_pair_coassignment,50,0.963757626762045,1.0,0.11926705763102496,0.5001051967178624,1.0,0.6335682726698927,0.9775930990953082,1.0,1.0,1.0,1.0
