month,ARI,NMI,K,seed,adjacent_ARI,adjacent_NMI,same_label_share
2023-02-01,0.6326685472275002,0.6725150164872521,6,11,1.0,1.0,1.0
2023-03-01,0.5782075825778367,0.6477384119728232,6,11,0.8859973968227725,0.8818897529879351,0.960609243697479
2023-04-01,0.5282909014278221,0.6257104288791523,6,11,0.9181543790392304,0.9060401357309593,0.9711134453781513
2023-05-01,0.5130341344171241,0.6060823675850607,6,11,0.9074801845977585,0.8965783074421247,0.9658613445378151
2023-06-01,0.5086847356891713,0.6170180910356309,7,11,0.914152821231887,0.894879684191591,0.9648109243697479
2023-07-01,0.5004782043419138,0.6270693672671593,7,11,0.9314440984530474,0.9240825060831394,0.9737394957983193
2023-08-01,0.5054519156905622,0.6332005883571914,8,11,0.9366422621071138,0.9249059277393747,0.9763655462184874
2023-09-01,0.5036421999238573,0.6340671733439392,9,11,0.9295182437014685,0.8993475367721314,0.9695378151260504
2023-10-01,0.5036432757964173,0.6380874671934068,9,11,0.9245101559195198,0.9129146222881163,0.9716386554621849
2023-11-01,0.47665743480072326,0.6254559168518243,10,11,0.9480102652902078,0.9331633911687652,0.9789915966386554
2023-12-01,0.41522403864324353,0.5897233438761386,11,11,0.8849877695578305,0.8928714765119505,0.9585084033613446
2024-01-01,0.33944868575128606,0.5605512063077388,11,11,0.841720928274188,0.8619116784243058,0.9422268907563025
2024-02-01,0.3171546200445837,0.5375699753318315,12,11,0.9718647135150257,0.9644034225540791,0.9816176470588235
2024-03-01,0.018618831720930082,0.09448995344786072,12,11,0.02168111340274598,0.14050801123558987,0.05934873949579832
2024-04-01,0.557951888418604,0.5994986244335754,12,11,0.09083426689945585,0.2283358374643845,0.6302521008403361
2024-05-01,0.6763231561417373,0.6360591472342113,11,11,0.9785783461504324,0.9635194733331087,0.9879201680672269
2024-06-01,0.733639538261651,0.6822025087687523,11,11,0.9532548317431856,0.9180159314439791,0.9800420168067226
2024-07-01,0.7388669366876925,0.7046201041677945,11,11,0.9575392646985181,0.9207075537361983,0.9826680672268907
2024-08-01,0.7260640399684585,0.7279217549806897,11,11,0.9712910886427931,0.944867388049237,0.9889705882352942
2024-09-01,0.7223348619992147,0.7505255610498708,11,11,0.9716819805318486,0.9468302212485878,0.9884453781512605
2024-10-01,0.6998805433194575,0.726280150977622,11,11,0.974848189379167,0.9432790772221495,0.9884453781512605
2024-11-01,0.6904824177041757,0.7119668459334351,11,11,0.976935375344438,0.9453037869216331,0.9894957983193278
2024-12-01,0.6904824177041757,0.7119668459334351,11,11,1.0,1.0,1.0
2023-01-01,0.5391941470065565,0.6541067040346104,5,12,,,
2023-02-01,0.5391941470065565,0.6541067040346104,5,12,1.0,1.0,1.0
2023-03-01,0.556961030024472,0.649034631727591,5,12,0.9280673916667098,0.8923293115819824,0.9737394957983193
2023-04-01,0.6051907437109365,0.6661660500368861,5,12,0.9171340321811324,0.8782058406092125,0.9690126050420168
2023-05-01,0.6187944773230314,0.6724475965488128,5,12,0.9506598399534322,0.9284928225511185,0.9831932773109243
2023-06-01,0.5898147100435851,0.6614378074501993,6,12,0.9531294035198006,0.9248869941673162,0.9826680672268907
2023-07-01,0.533288330433561,0.6473789584320498,6,12,0.961684484264475,0.9425103682933834,0.9868697478991597
2023-08-01,0.4649836795097604,0.6195649049760742,6,12,0.9611089472088098,0.9412117685003164,0.9868697478991597
2023-09-01,0.43115644480741544,0.6161172548354704,7,12,0.9484596875817018,0.9220994694308714,0.9810924369747899
2023-10-01,0.4270924928953516,0.6116850860056974,7,12,0.9402274669438909,0.9056509039402673,0.9747899159663865
2023-11-01,0.42482227176344467,0.6064852914881675,8,12,0.9266074967055399,0.8859131118682864,0.9695378151260504
2023-12-01,0.41973933541710606,0.6141066972539867,8,12,0.9194284251398601,0.8947585224961603,0.9716386554621849
2024-01-01,0.3864647451093731,0.5911320821324831,8,12,0.9733969457256112,0.9615990086421177,0.9858193277310925
