scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95,share_ge_0.90,share_ge_0.80,share_ge_0.70,share_ge_0.50
pair,A/D,cross_coassignment,50,0.230527047698512,0.01870393547489918,0.38963732339406104,0.0002781254345709915,0.9929078014184397,0.00054698002132295,0.006508135168961202,0.007358735456357484,0.0975177304964539,0.9609929078014185,0.977008297408798,,,,
pair,A/E,cross_coassignment,50,0.06885914741096621,0.01294516891634256,0.19657233904649027,0.0,0.9361702127659575,0.00022878059940517045,0.0017349195454892097,0.0066632349576755895,0.014251124837947075,0.07469686570578853,0.36766948829405927,,,,
pair,A/F,cross_coassignment,50,0.2074153599236558,0.08661374628581343,0.26630549687998784,0.005921009824972347,0.9625436484698636,0.012575097056846033,0.015613681219771403,0.03279328518446223,0.29554622942286424,0.5368273797904874,0.8669041577200857,,,,
pair,A/G,cross_coassignment,50,0.04176077609965825,0.0010289200014698856,0.18372675487647708,0.0,0.9332598390475141,0.0,0.0,5.3283357218976226e-05,0.0050288465071840665,0.02683202880976004,0.03542424576489178,,,,
pair,B/C,cross_coassignment,50,0.030541871921182268,0.0,0.1520248442230278,0.0,0.844475721323012,0.0,0.0,0.0,0.0,0.0,0.0,,,,
pair,B/D,cross_coassignment,50,0.04426437241563292,0.0,0.1930548418015834,0.0,0.9833266639989329,0.0,0.0,0.0,0.006535947712418301,0.0196078431372549,0.058496732026143625,,,,
pair,B/E,cross_coassignment,50,0.4655859117840684,0.39532587228439764,0.393857175090328,0.0,1.0,0.0,0.009622558700899717,0.08602150537634409,0.9717741935483871,0.9946236559139785,0.9975806451612903,,,,
pair,B/F,cross_coassignment,50,0.0390245272420895,0.0,0.19095836390739013,0.0,0.9676090619734132,0.0,0.0,0.0,0.0,0.0005336079385882869,0.008038444735692431,,,,
pair,B/G,cross_coassignment,50,0.03920376440731733,0.0,0.19400964334843876,0.0,0.983641746854182,0.0,0.0,0.0,0.0,0.0,0.0,,,,
pair,C/D,cross_coassignment,50,0.06633761550597252,0.0,0.21098508233347943,0.0,0.9188640973630832,0.0,0.0,0.0,0.0,0.10344827586206896,0.6354518819021858,,,,
pair,C/E,cross_coassignment,50,0.03280682239525399,0.0,0.15436022950648443,0.0,0.8620689655172413,0.0,0.0,0.0,0.0,0.0028364849833148135,0.034176863181312536,,,,
pair,C/F,cross_coassignment,50,0.11299799641463673,0.024517557734894023,0.21032885707605375,0.0,0.9042497100073816,0.001318148265316883,0.0025202994832858798,0.00719708952863018,0.12633132974797004,0.282157545080671,0.6152167035748177,,,,
pair,C/G,cross_coassignment,50,0.1472538860103627,0.06959085224227265,0.19909537535486832,0.0009648025728068608,0.9300696801858138,0.012122565660175097,0.03090226907271753,0.036242629980346615,0.16612470966589243,0.34447739860639626,0.5475826335536886,,,,
pair,D/E,cross_coassignment,50,0.12831822334668636,0.024175978635181672,0.22913989332892515,0.005376344086021506,0.9934640522875817,0.005629348513598988,0.01074566027127697,0.014512615081875044,0.08024984187223277,0.3798369527022279,0.5097881087919034,,,,
pair,D/F,cross_coassignment,50,0.4347980252243609,0.4587455777418001,0.3098887055963028,0.011792688533109472,0.9813115868161739,0.01813475645100038,0.021234834402670346,0.13588575083448262,0.6297895304910954,0.9250704563170834,0.9498480941816073,,,,
pair,D/G,cross_coassignment,50,0.04773856209150326,0.0003386501405398083,0.19450573763713672,0.0,0.9903755630058586,0.0,0.0,0.0,0.017022249314233465,0.029600731484303575,0.053225981238782215,,,,
pair,E/F,cross_coassignment,50,0.06031600407747197,0.0062724014336917565,0.19503294173398122,0.0,0.9877675840978594,0.0,0.0,0.0026388477853408303,0.01598105948505475,0.12566505540758283,0.19476505211929881,,,,
pair,E/G,cross_coassignment,50,0.04003521087525768,0.0,0.19698245208174586,0.0,0.9968911917098445,0.0,0.0,0.0,0.00010028413839211098,0.0005838765390829574,0.004370995598640579,,,,
pair,F/G,cross_coassignment,50,0.317797784855255,0.28943131942133704,0.23501485879311917,0.034098651582133065,0.9846968040436691,0.04234856047281773,0.05311657238833167,0.10703918492814249,0.4712237169431636,0.5874066327581563,0.7193611256357841,,,,
