pair,cross_coassignment,seed
B/E,0.5645161290322581,42
B/F,0.0,42
B/G,0.0,42
C/D,0.0,42
C/E,0.0,42
C/F,0.0032690076979858696,42
C/G,0.058781490083973556,42
D/E,0.4282099936748893,42
D/F,0.017828946053446863,42
D/G,0.00013546005621592334,42
E/F,0.009996382887770872,42
E/G,0.00011142682043567887,42
F/G,0.10126602335567492,42
A/B,0.0,43
A/C,0.0,43
A/D,0.013442729337597924,43
A/E,0.005414474185922367,43
A/F,0.022035699568395253,43
A/G,0.00011024142872891633,43
B/C,0.0,43
B/D,0.0,43
B/E,0.08602150537634409,43
B/F,0.0,43
B/G,0.0,43
C/D,0.0,43
C/E,0.0,43
C/F,0.020984920383844776,43
C/G,0.03680543148115062,43
D/E,0.022313584932180757,43
D/F,0.5277927684835402,43
D/G,0.015239256324291375,43
E/F,0.005886028081944034,43
E/G,0.00016714023065351831,43
F/G,0.4370838681054016,43
A/B,0.0,44
A/C,0.0,44
A/D,0.013535437815788254,44
A/E,7.626019980172348e-05,44
A/F,0.036285162773548485,44
A/G,0.0,44
B/C,0.0,44
B/D,0.0,44
B/E,0.08602150537634409,44
B/F,0.0,44
B/G,0.0,44
C/D,0.0,44
C/E,0.0,44
C/F,0.14425814615627966,44
C/G,0.1748079328211542,44
D/E,0.010682409164382598,44
D/F,0.40428934060882254,44
D/G,0.0,44
E/F,0.037519318667587384,44
E/G,0.0,44
F/G,0.26769976707705473,44
A/B,0.0,45
A/C,0.011005135730007337,45
A/D,0.017892736290733787,45
A/E,0.0021352855944482573,45
A/F,0.19435226755156484,45
A/G,0.004593392863704847,45
B/C,0.0,45
B/D,0.0,45
B/E,0.21867456660083387,45
B/F,0.0,45
B/G,0.0,45
C/D,0.0,45
C/E,0.0,45
C/F,0.01507961615522514,45
C/G,0.0701804538145435,45
D/E,0.037212734556188065,45
D/F,0.15840179088964843,45
D/G,0.0,45
E/F,0.00771102561573115,45
E/G,0.0,45
F/G,0.30961005213037346,45
A/B,0.0,46
A/C,0.26803619466862316,46
A/D,0.014184397163120567,46
A/E,0.011095859071150767,46
A/F,0.025896284728999935,46
A/G,0.005254841436078345,46
B/C,0.0,46
B/D,0.0,46
B/E,0.5806451612903226,46
B/F,0.0,46
B/G,0.0,46
C/D,0.0,46
C/E,0.0014831294030404152,46
C/F,0.00337445955921122,46
C/G,0.02440593174915133,46
D/E,0.41127275282873005,46
D/F,0.039655413643541006,46
D/G,0.0019573978123200923,46
E/F,0.01399164775903456,46
E/G,5.571341021783943e-06,46
F/G,0.28575684112119915,46
A/B,0.0,47
A/C,0.9244314013206163,47
A/D,0.9799286144717935,47
A/E,0.01601464195836193,47
A/F,0.9625436484698636,47
A/G,0.026759269466798956,47
B/C,0.0,47
B/D,0.013071895424836602,47
B/E,0.9838709677419355,47
B/F,0.0,47
B/G,0.0,47
C/D,0.9188640973630832,47
C/E,0.015016685205784204,47
C/F,0.9042497100073816,47
C/G,0.09212077898874398,47
D/E,0.028779253636938645,47
D/F,0.9567468169734764,47
D/G,0.02659080903518575,47
E/F,0.015635789681365295,47
E/G,0.00043456459969914757,47
F/G,0.0498993836256754,47
A/B,0.008250108554059922,48
A/C,0.003668378576669112,48
A/D,0.07634543178973717,48
A/E,0.014184397163120567,48
A/F,0.15897802936647365,48
A/G,0.0016242237166060338,48
B/C,0.0,48
B/D,0.01520608243297319,48
B/E,0.5816326530612245,48
B/F,0.005336079385882793,48
B/G,0.0,48
C/D,0.0,48
C/E,0.0,48
C/F,0.08003796267004112,48
C/G,0.20475254600678935,48
D/E,0.026143790849673203,48
D/F,0.4499410365573345,48
D/G,0.00807341935046903,48
E/F,0.009174311926605505,48
E/G,0.0,48
F/G,0.3849091283611415,48
A/B,0.0,49
A/C,0.0,49
A/D,0.02127659574468085,49
A/E,0.00022878059940517045,49
A/F,0.16891144511679354,49
A/G,0.0023150700033072427,49
B/C,0.0,49
B/D,0.0,49
B/E,0.0913978494623656,49
B/F,0.0,49
B/G,0.0,49
C/D,0.0,49
C/E,0.0,49
C/F,0.007908889591901298,49
C/G,0.10166160443094514,49
D/E,0.010752688172043012,49
