archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,seed
G,965,10,1187,964,0.998963730569948,0.8121314237573716,0.8114478114478114,0.9979274611398964,2,30
A,141,0,164,139,0.9858156028368794,0.8475609756097561,0.8373493975903614,0.9717325227963526,3,31
B,98,5,113,97,0.9897959183673468,0.8584070796460177,0.8508771929824561,0.979591836734694,2,31
C,29,3,28,27,0.9310344827586208,0.9642857142857144,0.9,0.8669950738916257,2,31
D,153,1,160,152,0.9934640522875816,0.95,0.9440993788819876,0.9869281045751634,2,31
E,186,7,173,169,0.9086021505376344,0.976878612716763,0.8894736842105263,0.8320836965998256,3,31
F,327,8,1226,259,0.7920489296636085,0.2112561174551386,0.2001545595054095,0.6446783362413463,4,31
G,965,8,1226,963,0.9979274611398964,0.7854812398042414,0.7842019543973942,0.9958570722163697,3,31
A,141,11,157,137,0.9716312056737588,0.8726114649681529,0.8509316770186336,0.9440729483282676,3,32
B,98,7,285,98,1.0,0.343859649122807,0.343859649122807,1.0,1,32
C,29,14,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4655172413793103,4,32
D,153,9,519,152,0.9934640522875816,0.2928709055876686,0.2923076923076923,0.9869281045751634,2,32
E,186,7,285,184,0.989247311827957,0.6456140350877193,0.6411149825783972,0.9786108689334496,2,32
F,327,9,519,309,0.944954128440367,0.5953757225433526,0.5754189944134078,0.8941295660494175,3,32
G,965,10,921,911,0.944041450777202,0.98914223669924,0.9343589743589744,0.8940124266334143,3,32
A,141,1,128,124,0.8794326241134752,0.96875,0.8551724137931035,0.7811550151975684,3,33
B,98,4,99,98,1.0,0.98989898989899,0.98989898989899,1.0,1,33
C,29,12,33,26,0.896551724137931,0.7878787878787878,0.7222222222222222,0.8078817733990148,2,33
D,153,10,391,153,1.0,0.391304347826087,0.391304347826087,1.0,1,33
E,186,9,121,121,0.6505376344086021,1.0,0.6505376344086021,0.5391455972101133,3,33
F,327,8,654,161,0.4923547400611621,0.246177370030581,0.1963414634146341,0.48042250614435,4,33
G,965,8,654,492,0.5098445595854922,0.7522935779816514,0.4365572315882874,0.4986605895126094,3,33
A,141,5,432,127,0.900709219858156,0.2939814814814814,0.2847533632286995,0.8134751773049645,5,34
B,98,9,299,98,1.0,0.3277591973244147,0.3277591973244147,1.0,1,34
C,29,12,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,34
D,153,4,145,138,0.9019607843137256,0.9517241379310344,0.8625,0.8197454420364637,3,34
E,186,9,299,186,1.0,0.6220735785953178,0.6220735785953178,1.0,1,34
F,327,5,432,295,0.9021406727828746,0.6828703703703703,0.6357758620689655,0.8176206825387892,4,34
G,965,10,865,845,0.8756476683937824,0.976878612716763,0.8578680203045685,0.7800550383763679,4,34
A,141,3,172,132,0.9361702127659576,0.7674418604651163,0.7292817679558011,0.8776089159067882,4,35
B,98,13,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,35
C,29,10,40,28,0.9655172413793104,0.7,0.6829268292682927,0.9310344827586208,2,35
D,153,11,319,150,0.9803921568627452,0.4702194357366771,0.4658385093167702,0.9613003095975232,2,35
E,186,6,173,169,0.9086021505376344,0.976878612716763,0.8894736842105263,0.8320836965998256,3,35
F,327,11,319,165,0.5045871559633027,0.5172413793103449,0.343035343035343,0.3959775613965967,4,35
G,965,12,1081,963,0.9979274611398964,0.8908418131359852,0.889196675900277,0.9958570722163697,3,35
A,141,1,136,134,0.950354609929078,0.9852941176470588,0.9370629370629372,0.903951367781155,3,36
B,98,11,288,98,1.0,0.3402777777777778,0.3402777777777778,1.0,1,36
C,29,14,33,26,0.896551724137931,0.7878787878787878,0.7222222222222222,0.8078817733990148,2,36
D,153,2,150,141,0.9215686274509804,0.94,0.8703703703703703,0.8521671826625387,3,36
E,186,11,288,185,0.9946236559139784,0.6423611111111112,0.6401384083044983,0.989247311827957,2,36
F,327,13,1156,191,0.5840978593272171,0.1652249134948097,0.1478328173374613,0.486369861728673,5,36
G,965,13,1156,962,0.9968911917098444,0.8321799307958477,0.8300258843830889,0.9937888332294196,4,36
A,141,13,448,140,0.9929078014184396,0.3125,0.311804008908686,0.9858156028368794,2,37
B,98,11,282,98,1.0,0.3475177304964539,0.3475177304964539,1.0,1,37
